zip,total_population,age_0_14,age_15_17,age_18_24,age_25_64,age_65_plus
43001,2892,435,94,211,1693,459
43002,1205,178,0,118,612,297
43003,3723,625,93,202,2212,591
43004,31477,7068,1397,2142,17176,3694
43005,339,99,45,0,109,86
43006,701,120,2,15,354,210
43007,63,0,0,11,29,23
43008,2434,315,30,225,1424,440
43009,2229,622,110,135,1144,218
43010,305,35,5,23,141,101
43011,6594,1222,235,546,3191,1400
43013,1754,427,43,70,945,269
43014,3738,1310,151,304,1498,475
43015,61401,12182,2424,5667,31072,10056
43016,46362,10314,1627,2882,25149,6390
43017,41613,8653,2282,2772,22083,5823
43018,286,14,0,19,253,0
43019,9445,1724,363,1045,4736,1577
43021,14403,3069,847,1082,7556,1849
43022,3635,434,8,1722,929,542
43023,15688,2690,611,2764,6826,2797
43025,5357,824,128,435,2760,1210
43026,65238,13853,3200,4285,37173,6727
43027,185,124,0,0,61,0
43028,7799,1357,307,428,4145,1562
43029,544,101,8,77,247,111
43030,249,48,10,9,157,25
43031,13876,2564,565,1073,7489,2185
43032,0,0,0,0,0,0
43033,387,60,16,34,157,120
43035,36012,8602,1806,3315,19990,2299
43036,359,102,1,12,214,30
43037,293,20,11,47,146,69
43040,38990,6564,1496,3336,22350,5244
43044,4964,885,143,401,2542,993
43045,1739,409,57,116,835,322
43046,2946,328,48,292,1479,799
43047,18,0,0,0,18,0
43050,31074,5388,1402,2907,14764,6613
43054,27594,5735,1456,1469,14935,3999
43055,63281,11577,2733,6000,31691,11280
43056,17637,3120,791,1338,8929,3459
43060,2359,456,64,146,1178,515
43061,4921,1005,200,647,2278,791
43062,32037,6908,1511,1812,16777,5029
43064,18143,4896,714,942,9478,2113
43065,46679,9671,2314,2206,24643,7845
43066,1368,334,2,15,637,380
43067,1884,396,31,157,908,392
43068,60148,13053,1979,4841,32147,8128
43070,170,0,49,0,121,0
43071,2371,425,98,323,1175,350
43072,5253,756,206,360,2740,1191
43074,16873,3175,936,1406,8614,2742
43076,9456,1491,375,462,4736,2392
43077,269,30,42,74,97,26
43078,19695,3358,749,1460,9988,4140
43080,5321,1211,176,371,2606,957
43081,65020,12770,2015,5158,34923,10154
43082,34563,6381,1860,3012,16460,6850
43084,991,201,87,86,508,109
43085,26601,5424,1450,1339,13960,4428
43101,316,55,14,29,160,58
43102,3711,610,284,215,1962,640
43103,13130,2826,415,1126,7020,1743
43105,8982,1687,369,711,4301,1914
43106,1587,282,67,129,921,188
43107,3791,819,192,340,1888,552
43109,152,43,0,0,72,37
43110,43544,9865,1863,2449,23745,5622
43111,249,0,0,7,86,156
43112,4909,1085,207,412,2084,1121
43113,24480,4014,1033,2309,12018,5106
43115,1796,536,26,116,906,212
43116,2684,730,111,264,1336,243
43117,7,0,0,0,0,7
43119,29660,6332,1162,1684,17111,3371
43123,67626,13430,2530,4132,36060,11474
43125,14803,3165,631,724,8146,2137
43126,306,52,11,6,147,90
43127,257,68,0,0,160,29
43128,2002,410,97,222,898,375
