zip,edu_total,less_than_hs,hs_or_ged,some_college_assoc,bachelor_plus,pct_bachelor_plus
43001,2152,43,648,701,760,35.3
43002,909,44,67,280,518,57.0
43003,2803,197,1261,766,579,20.7
43004,20870,2709,4211,4592,9358,44.8
43005,195,77,106,12,0,0.0
43006,564,169,185,125,85,15.1
43007,52,0,34,5,13,25.0
43008,1864,288,673,625,278,14.9
43009,1362,145,609,313,295,21.7
43010,242,25,110,65,42,17.4
43011,4591,270,1715,1453,1153,25.1
43013,1214,43,353,425,393,32.4
43014,1973,426,836,465,246,12.5
43015,41128,1625,9590,9852,20061,48.8
43016,31539,1024,3359,5068,22088,70.0
43017,27906,749,2933,5238,18986,68.0
43018,253,26,132,95,0,0.0
43019,6313,1245,2043,1943,1082,17.1
43021,9405,224,1550,1723,5908,62.8
43022,1471,54,358,356,703,47.8
43023,9623,175,1499,2611,5338,55.5
43025,3970,269,1600,1310,791,19.9
43026,43900,1956,6907,11072,23965,54.6
43027,61,0,0,61,0,0.0
43028,5707,389,1970,1520,1828,32.0
43029,358,0,204,36,118,33.0
43030,182,0,60,54,68,37.4
43031,9674,327,3092,2624,3631,37.5
43032,0,0,0,0,0,
43033,277,23,168,69,17,6.1
43035,22289,660,1707,4527,15395,69.1
43036,244,16,123,77,28,11.5
43037,215,5,132,56,22,10.2
43040,27594,1406,8567,8368,9253,33.5
43044,3535,230,1746,984,575,16.3
43045,1157,40,460,345,312,27.0
43046,2278,54,977,726,521,22.9
43047,18,18,0,0,0,0.0
43050,21377,1416,8735,6077,5149,24.1
43054,18934,733,2061,3818,12322,65.1
43055,42971,3457,17206,12458,9850,22.9
43056,12388,735,4505,3966,3182,25.7
43060,1693,132,817,431,313,18.5
43061,3069,34,777,903,1355,44.2
43062,21806,1255,6723,6872,6956,31.9
43064,11591,416,2148,2522,6505,56.1
43065,32488,576,3450,6030,22432,69.0
43066,1017,0,299,241,477,46.9
43067,1300,152,542,340,266,20.5
43068,40275,3895,10889,13819,11672,29.0
43070,121,0,0,121,0,0.0
43071,1525,97,717,384,327,21.4
43072,3931,271,1833,1452,375,9.5
43074,11356,341,2792,3152,5071,44.7
43076,7128,460,2450,2191,2027,28.4
43077,123,13,52,44,14,11.4
43078,14128,1416,5711,3884,3117,22.1
43080,3563,287,1378,1191,707,19.8
43081,45077,1087,7707,11961,24322,54.0
43082,23310,476,2815,4344,15675,67.2
43084,617,37,281,175,124,20.1
43085,18388,713,2526,3982,11167,60.7
43101,218,42,99,43,34,15.6
43102,2602,159,1115,803,525,20.2
43103,8763,617,4124,2077,1945,22.2
43105,6215,220,1949,2113,1933,31.1
43106,1109,101,563,355,90,8.1
43107,2440,192,1104,752,392,16.1
43109,109,8,31,20,50,45.9
43110,29367,1968,7971,8688,10740,36.6
43111,242,0,210,32,0,0.0
43112,3205,98,1162,931,1014,31.6
43113,17124,1691,6601,4829,4003,23.4
43115,1118,81,686,223,128,11.4
43116,1579,63,504,521,491,31.1
43117,7,0,0,7,0,0.0
43119,20482,1869,6069,5537,7007,34.2
43123,47534,4053,14343,14360,14778,31.1
43125,10283,534,3143,3640,2966,28.8
43126,237,37,112,66,22,9.3
43127,189,0,48,98,43,22.8
43128,1273,98,658,391,126,9.9
43130,44214,3350,17356,13241,10267,23.2
43135,2988,324,1500,791,373,12.5
43136,1342,44,385,401,512,38.2
43137,1694,476,520,416,282,16.6
43138,12852,1463,5160,4494,1735,13.5
43140,18299,2132,6650,5382,4135,22.6
43142,66,10,50,5,1,1.5
43143,4034,321,1639,1359,715,17.7
43144,221,25,110,73,13,5.9
43145,1390,206,518,401,265,19.1
43146,9806,1089,3718,2819,2180,22.2
43147,30514,1274,5990,8342,14908,48.9
43148,1296,246,326,453,271,20.9
43149,1682,86,751,483,362,21.5
43150,1573,100,741,408,324,20.6
43151,151,15,97,34,5,3.3
43152,666,36,350,191,89,13.4
