zip,median_income
43001,93804.0
43002,102153.0
43003,69852.0
43004,101175.0
43005,72910.0
43006,63152.0
43007,
43008,88558.0
43009,102841.0
43010,68500.0
43011,90121.0
43013,131528.0
43014,66481.0
43015,105322.0
43016,109972.0
43017,135922.0
43018,110481.0
43019,68104.0
43021,167941.0
43022,94712.0
43023,142852.0
43025,87381.0
43026,111440.0
43027,
43028,91186.0
43029,107744.0
43030,213021.0
43031,110930.0
43032,
43033,75833.0
43035,154683.0
43036,77813.0
43037,69625.0
43040,99321.0
43044,76397.0
43045,99181.0
43046,86864.0
43047,
43050,64108.0
43054,148100.0
43055,63974.0
43056,80014.0
43060,62014.0
43061,157568.0
43062,105968.0
43064,139591.0
43065,154481.0
43066,129012.0
43067,95903.0
43068,70477.0
43070,
43071,78824.0
43072,76375.0
43074,119296.0
43076,91085.0
43077,104545.0
43078,73816.0
43080,87301.0
43081,92422.0
43082,147972.0
43084,78008.0
43085,112517.0
43101,39107.0
43102,90781.0
43103,83291.0
43105,98583.0
43106,82813.0
43107,78482.0
43109,56940.0
43110,77442.0
43111,46694.0
43112,91613.0
43113,67231.0
43115,94265.0
43116,113229.0
43117,
43119,91224.0
43123,91008.0
43125,84043.0
43126,63333.0
43127,67500.0
43128,50915.0
43130,72153.0
43135,72823.0
43136,114375.0
43137,49145.0
43138,68051.0
43140,83644.0
43142,55833.0
43143,100333.0
43144,34732.0
43145,73500.0
43146,81191.0
43147,126534.0
43148,72072.0
43149,57500.0
43150,75284.0
43151,62292.0
43152,
43153,90417.0
43154,91250.0
43155,90337.0
43156,93542.0
43157,62188.0
43158,
43160,61740.0
43162,76250.0
43164,68000.0
43201,43731.0
43202,69524.0
43203,47572.0
43204,59266.0
43205,60181.0
43206,75806.0
43207,63310.0
43209,89713.0
43210,34423.0
43211,42579.0
43212,77257.0
43213,54704.0
43214,94183.0
43215,74087.0
43217,61356.0
43218,
43219,52094.0
43220,74298.0
43221,118768.0
43222,32321.0
43223,46911.0
43224,53321.0
43227,48159.0
43228,61713.0
43229,57561.0
43230,91424.0
