zip,medicaid_total
43001,268
43002,13
43003,576
43004,5487
43005,142
43006,53
43007,6
43008,596
43009,266
43010,47
43011,658
43013,105
43014,603
43015,4931
43016,2895
43017,4230
43018,0
43019,1027
43021,609
43022,238
43023,614
43025,483
43026,6492
43027,185
43028,1119
43029,0
43030,0
43031,1047
43032,0
43033,68
43035,1489
43036,72
43037,66
43040,2762
43044,548
43045,153
43046,271
43047,0
43050,6664
43054,748
43055,13715
43056,2320
43060,456
43061,150
43062,4130
43064,875
43065,1653
43066,0
43067,329
43068,12944
43070,0
43071,560
43072,562
43074,867
43076,987
43077,26
43078,2946
43080,1070
43081,5917
43082,930
43084,70
43085,1811
43101,87
43102,559
43103,2317
43105,893
43106,347
43107,665
43109,28
43110,7524
43111,118
43112,556
43113,4199
43115,637
43116,326
43117,0
43119,4571
43123,8856
43125,2404
43126,85
43127,151
43128,628
43130,10842
43135,747
43136,115
43137,879
43138,4875
43140,2916
43142,23
43143,653
43144,101
43145,404
43146,982
43147,5014
43148,390
43149,499
43150,182
43151,64
43152,218
43153,125
43154,373
43155,234
43156,54
43157,161
43158,70
43160,4950
43162,1079
43164,367
43201,3629
43202,2828
43203,3622
43204,11665
43205,4045
43206,4602
43207,12424
43209,2780
43210,351
43211,10855
43212,990
43213,10070
43214,1997
43215,1803
43217,647
43218,0
43219,12332
43220,3097
43221,2186
43222,2177
43223,10728
43224,16300
43227,10472
43228,15655
43229,18731
43230,5960
43231,6135
43232,16696
43235,4630
43240,657
43302,13369
43310,368
43311,4066
43314,452
43315,838
43316,539
43317,27
43318,359
43319,29
43320,98
43321,82
43322,135
43323,39
43324,308
43325,70
43326,2010
43330,7
43331,591
43332,489
43333,27
43334,596
43336,0
43337,49
43338,2308
43340,77
43341,269
43342,317
43343,177
43344,770
43345,17
43346,27
43347,157
43348,341
43350,29
43351,1383
43356,80
43357,296
43358,213
43359,81
43360,119
43402,3738
43403,113
43406,187
43407,51
43408,94
43410,2137
43412,337
43413,99
43414,0
43416,201
43420,6663
43430,475
43431,510
43432,30
43433,0
43434,41
43435,82
43436,0
43437,114
43438,31
43439,0
43440,258
43442,89
43443,95
43445,50
43446,0
43447,460
43449,685
43450,252
43451,158
43452,1577
43456,122
43457,203
43458,58
43460,861
43462,96
43463,10
43464,465
43465,728
43466,312
43467,75
43468,11
43469,163
43501,169
43502,1146
43504,34
43505,12
43506,2554
43510,0
43511,191
43512,3561
43515,1124
43516,244
43517,553
43518,515
43519,0
43520,0
43521,307
43522,335
43523,0
43524,148
43525,50
43526,497
43527,213
43528,1833
43529,57
43530,0
43531,47
43532,215
43533,430
43534,173
43535,201
43536,41
43537,3175
43540,82
43541,39
43542,217
43543,1621
43545,1567
43547,41
43548,10
43549,122
43551,3143
43553,0
43554,401
43555,14
43556,288
43557,193
43558,1354
43560,2478
43565,35
43566,436
43567,1752
43569,341
43570,594
43571,515
43604,4727
43605,12736
43606,4366
43607,4721
43608,7506
43609,9237
43610,1185
43611,4237
43612,9657
43613,6572
43614,4665
43615,9217
43616,2217
43617,625
43619,1070
43620,2239
43623,2768
43701,14763
43711,0
43713,1779
43716,355
43717,42
43718,210
43719,607
43720,253
43721,133
43722,91
43723,1304
43724,956
43725,4486
43727,182
43728,252
43730,815
43731,1342
43732,320
43733,0
43734,96
43735,199
43736,8
43738,30
43739,496
43740,20
43746,158
43747,331
43748,457
43749,189
43750,0
43754,307
43755,125
43756,1396
43758,700
43759,57
43760,394
43761,0
43762,342
43764,2120
43766,262
43767,122
43768,19
43771,653
43772,369
43773,269
43777,1201
43778,296
43779,55
43780,476
43782,132
43783,1037
43786,26
43787,570
43788,165
43791,0
43793,989
43802,199
43804,294
43805,82
43811,44
43812,5698
43821,660
43822,1309
43824,429
43830,842
43832,1906
43836,2
43837,199
43840,277
43842,154
43843,37
43844,591
43845,1450
43901,419
43902,27
43903,517
43905,48
43906,2664
43907,957
43908,201
43909,0
43910,487
43912,1134
43913,290
43914,0
43915,77
43917,629
43920,5248
43925,0
43926,66
43928,70
43930,76
43931,31
43932,279
43933,206
43934,17
43935,2774
43938,1656
43939,79
43940,43
43942,334
43943,775
43944,258
43945,847
43946,310
43947,565
43948,87
43950,1467
43951,0
43952,4420
43953,1399
43961,36
43962,5
43963,257
43964,1641
43967,18
43968,1625
43971,202
43972,4
43973,316
43974,3
43976,183
43977,696
43981,51
43983,198
43985,97
43986,242
43988,704
44001,1756
44003,595
44004,9659
44010,168
44011,1080
44012,1179
44017,1897
44021,559
44022,727
44023,820
44024,1893
44026,462
44028,560
44030,3332
44032,422
44035,14836
44039,3122
44040,157
44041,2297
44044,1322
44045,39
44046,301
44047,1635
44048,513
44049,63
44050,499
44052,10723
44053,4021
44054,1939
44055,8197
44056,1026
44057,2447
44060,4595
44062,1544
44064,84
44065,226
44067,1182
44068,18
44070,3646
44072,111
44074,1366
44076,985
44077,9554
44080,4
44081,676
44082,362
44084,651
44085,495
44086,123
44087,1759
44089,2274
44090,821
44092,2709
44093,269
44094,2869
44095,3862
44099,290
44101,0
44102,15545
44103,6660
44104,12181
44105,14190
44106,7076
44107,6830
44108,9237
44109,16300
44110,8518
44111,13402
44112,7085
44113,3873
44114,1437
44115,4884
44116,1569
44117,2772
44118,8473
44119,4141
44120,9575
44121,5062
44122,3223
44123,5029
44124,2977
44125,9002
44126,1725
44127,2392
44128,8925
44129,5696
44130,7910
44131,1504
44132,4857
44133,3120
44134,7966
44135,10547
44136,2562
44137,8115
44138,1872
44139,1461
44140,573
44141,647
44142,3095
44143,2859
44144,5740
44145,2421
44146,6421
44147,1235
44149,840
44201,1152
44202,918
44203,8410
44212,4696
44214,280
44215,299
44216,640
44217,543
44221,4376
44223,1729
44224,4336
44230,651
44231,1223
44232,0
44233,286
44234,445
44235,59
44236,651
44240,5903
44241,2783
44243,288
44250,304
44251,23
44253,240
44254,711
44255,1332
44256,5957
44260,1756
44262,694
44264,382
44266,6785
44270,1471
44272,531
44273,417
44274,3
44275,387
44276,237
44278,1969
44280,258
44281,2436
44285,34
44286,594
44287,1620
44288,1186
44301,4899
44302,1934
44303,1128
44304,977
44305,6711
44306,9891
44307,3405
44308,345
44310,11262
44311,3317
44312,5721
44313,3950
44314,5848
44319,2643
44320,6137
44321,825
44325,55
44333,831
44401,198
44402,478
44403,499
44404,236
44405,3098
44406,2001
44408,818
44410,1957
44411,609
44412,527
44413,1625
44415,0
44417,323
44418,200
44420,4061
44423,221
44424,0
44425,1485
44427,243
44428,694
44429,608
44430,1125
44431,579
44432,2282
44436,633
44437,258
44438,1314
44439,40
44440,578
44441,276
44442,368
44443,339
44444,1315
44445,575
44446,4680
44449,228
44450,501
44451,603
44452,290
44454,71
44455,116
44460,3719
44470,552
44471,3065
44473,363
44481,1445
44483,7843
44484,4336
44485,6815
44490,156
44491,485
44493,0
44502,5183
44503,252
44504,1506
44505,6418
44506,1388
44507,2255
44509,4667
44510,1281
44511,4727
44512,7069
44514,2725
44515,5659
44555,14
44601,7098
44606,809
44607,0
44608,340
44609,601
44610,21
44611,253
44612,613
44613,352
44614,1196
44615,1613
44618,682
44619,35
44620,276
44621,1183
44622,2860
44624,634
44625,37
44626,126
44627,347
44628,179
44629,328
44630,0
44632,818
44633,301
44634,211
44637,319
44638,302
44639,34
44640,0
44641,2401
44643,1052
44644,1019
44645,275
44646,7644
44647,3018
44651,107
44652,179
44653,163
44654,1717
44656,430
44657,1725
44659,7
44660,7
44661,116
44662,1170
44663,4350
44665,25
44666,316
44667,2156
44669,126
44670,30
44671,0
44672,1165
44675,510
44676,816
44677,391
44678,15
44680,435
44681,271
44682,158
44683,1772
44685,2184
44687,4
44688,538
44689,63
44690,0
44691,6579
44693,15
44695,135
44697,47
44699,150
44702,428
44703,3405
44704,1466
44705,6311
44706,4944
44707,3392
44708,4149
44709,3105
44710,3252
44714,2654
44718,1029
44720,2734
44721,1942
44730,556
44802,55
44804,180
44805,5598
44807,202
44809,0
44811,2031
44813,738
44814,282
44815,149
44817,176
44818,227
44820,2897
44822,708
44824,673
44825,50
44826,54
44827,1445
44828,82
44830,4237
44833,3218
44836,355
44837,897
44838,4
44839,656
44840,302
44841,77
44842,1011
44843,204
44844,19
44846,351
44847,389
44849,512
44850,21
44851,818
44853,142
44854,295
44855,206
44856,1
44857,3768
44859,95
44861,0
44864,609
44865,672
44866,472
44867,529
44870,8782
44874,34
44875,2438
44878,390
44880,391
44881,62
44882,168
44883,4173
44887,225
44889,824
44890,1803
44901,0
44902,2478
44903,5263
44904,2179
44905,2099
44906,3901
44907,3461
45001,432
45002,2173
45003,216
45005,4540
45011,11015
45013,9661
45014,7209
45015,3498
45030,1820
45032,75
45033,22
45034,0
45036,3771
45039,1307
45040,3285
45041,0
45042,4739
45044,12793
45050,862
45051,16
45052,369
45053,277
45054,171
45055,137
45056,2611
45062,106
45064,243
45065,592
45066,1604
45067,2220
45068,828
45069,4522
45070,61
45101,990
45102,5718
45103,5745
45105,0
45106,2483
45107,1707
45111,7
45112,1
45113,329
45115,0
45118,618
45119,30
45120,746
45121,1795
45122,1542
45123,2292
45130,698
45131,152
45132,19
45133,5071
45135,577
45140,4353
45142,819
45144,1346
45146,230
45147,0
45148,396
45150,2952
45152,1110
45153,281
45154,2811
45155,213
45156,23
45157,1392
45158,114
45159,567
45160,282
45162,329
45164,39
45166,0
45167,859
45168,291
45169,1026
45171,992
45172,64
45174,23
45176,2042
45177,4417
45202,2351
45203,1241
45204,4663
45205,6507
45206,2048
45207,1495
45208,272
45209,318
45211,10200
45212,2969
45213,1055
45214,4738
45215,6266
45216,3414
45217,1459
45218,867
45219,1912
45220,1590
45223,3817
45224,5221
45225,5698
45226,527
45227,2846
45229,4938
45230,3297
45231,8017
45232,3194
45233,1860
45236,2292
45237,5666
45238,9977
45239,7569
45240,5641
45241,1789
45242,855
45243,758
45244,2556
45245,1992
45246,2417
45247,1572
45248,1383
45249,983
45251,3164
45252,431
45255,1624
45267,0
45301,0
45302,251
45303,406
45304,809
45305,1245
45306,45
45307,98
45308,550
45309,1283
45310,2
45311,1110
45312,42
45314,582
45315,142
45316,21
45317,5
45318,561
45319,50
45320,2219
45321,267
45322,2776
45323,532
45324,6380
45325,201
45326,228
45327,938
45328,121
45330,66
45331,4058
45332,135
45333,185
45334,270
45335,1008
45336,0
45337,220
45338,994
45339,86
45340,69
45341,873
45342,4783
45344,3065
45345,2034
45346,177
45347,684
45348,155
45349,43
45350,4
45351,3
45352,28
45353,83
45354,57
45356,4855
45358,40
45359,280
45360,52
45361,53
45362,134
45363,106
45365,5065
45368,553
45369,272
45370,241
45371,1982
45372,48
45373,5368
45377,1607
45378,78
45380,182
45381,795
45382,166
45383,944
45384,234
45385,6888
45387,732
45388,8
45389,170
45390,771
45402,3154
45403,5405
45404,4306
45405,7380
45406,7479
45409,830
45410,4981
45414,5071
45415,1584
45416,1925
45417,12492
45419,1640
45420,4249
45423,0
45424,7888
45426,3691
45428,21
45429,2486
45430,459
45431,3557
45432,2498
45433,39
45434,383
45435,7
45439,3824
45440,1943
45449,4644
45458,1753
45459,1796
45469,5
45501,0
45502,2276
45503,6446
45504,2512
45505,7210
45506,4777
45601,11704
45612,1009
45613,1612
45614,1632
45616,370
45617,0
45618,0
45619,1835
45620,149
45621,183
45622,71
45623,752
45624,0
45628,1276
45629,525
45630,97
45631,2791
45634,534
45636,4
45638,6504
45640,2961
45642,0
45644,791
45645,579
45646,35
45647,361
45648,2649
45650,59
45651,1502
45652,1382
45653,709
45654,328
45656,1662
45657,690
45658,558
45659,851
45660,2573
45661,2131
45662,10496
45663,1805
45669,1817
45671,115
45672,539
45673,13
45674,304
45677,0
45678,291
45679,990
45680,2888
45681,533
45682,501
45684,445
45685,350
45686,964
45688,95
45690,3518
45692,2478
45693,2790
45694,2981
45695,274
45696,298
45697,846
45698,62
45699,0
45701,3899
45710,802
45711,266
45714,1519
45715,602
45716,95
45719,288
45720,0
45721,0
45723,520
45724,106
45727,152
45729,683
45732,1049
45734,95
45735,184
45739,0
45740,68
45741,458
45742,821
45743,376
45744,394
45745,103
45746,157
45750,5273
45760,1014
45761,387
45764,2504
45766,147
45767,995
45768,86
45769,1727
45770,250
45771,1004
45772,352
45773,232
45775,743
45776,421
45778,246
45779,154
45780,828
45782,156
45783,7
45784,31
45786,395
45788,68
45789,0
45801,6118
45804,5013
45805,4401
45806,1502
45807,1124
45808,44
45809,0
45810,838
45812,245
45813,423
45814,245
45815,28
45816,26
45817,205
45819,34
45820,69
45821,81
45822,3127
45826,11
45827,105
45828,459
45830,507
45831,300
45832,175
45833,1319
45835,14
45836,179
45838,2
45840,7388
45841,89
45843,730
45844,94
45845,36
45846,143
45848,0
45849,165
45850,409
45851,24
45853,16
45854,68
45855,38
45856,654
45858,296
45859,50
45860,80
45861,113
45862,124
45863,205
45864,9
45865,202
45866,7
45867,83
45868,118
45869,67
45870,6
45871,123
45872,1059
45873,442
45874,246
45875,928
45876,38
45877,409
45879,1159
45880,356
45881,301
45882,269
45883,77
45884,5
45885,612
45886,19
45887,680
45888,0
45889,128
45890,63
45891,2460
45893,0
45894,65
45895,2342
45896,176
45897,54
45898,135
45899,34
