zip,latitude,longitude
43001,40.08794,-82.61289
43002,40.05982,-83.17305
43003,40.41017,-82.96866
43004,40.01664,-82.80025
43005,40.28241,-82.26728
43006,40.4591,-82.14554
43007,40.33154,-83.40595
43008,39.93348,-82.4817
43009,40.17188,-83.64234
43010,39.99964,-83.6219
43011,40.30946,-82.68456
43013,40.23101,-82.6895
43014,40.46646,-82.25242
43015,40.29812,-83.06049
43016,40.09732,-83.15535
43017,40.1189,-83.13314
43018,39.95377,-82.67613
43019,40.49527,-82.57831
43021,40.20301,-82.88476
43022,40.33765,-82.34135
43023,40.07603,-82.53061
43025,39.96653,-82.51529
43026,40.02197,-83.18472
43028,40.40335,-82.29783
43029,40.09598,-83.45408
43030,39.96783,-82.40667
43031,40.16292,-82.66378
43033,39.96098,-82.59984
43035,40.18622,-82.9969
43036,40.3524,-83.26325
43037,40.28062,-82.31654
43040,40.26115,-83.35812
43044,40.05145,-83.56423
43045,40.16932,-83.44975
43046,39.89917,-82.53844
43047,40.20795,-83.63797
43050,40.37188,-82.49536
43054,40.07998,-82.79253
43055,40.1168,-82.37672
43056,40.00895,-82.33057
43060,40.21978,-83.57295
43061,40.28775,-83.20256
43062,40.00556,-82.67964
43064,40.09819,-83.28863
43065,40.17655,-83.09445
43066,40.39877,-83.16313
43067,40.34368,-83.48388
43068,39.95667,-82.78468
43070,40.22056,-83.95651
43071,40.18479,-82.35509
43072,40.1172,-83.95514
43074,40.28008,-82.84899
43076,39.89594,-82.39497
43077,40.13675,-83.34165
43078,40.11302,-83.77538
43080,40.24284,-82.43126
43081,40.11064,-82.89083
43082,40.15537,-82.88437
43084,40.15764,-83.54223
43085,40.09959,-83.01639
43101,39.46466,-82.74563
43102,39.64076,-82.76118
43103,39.72484,-82.93428
43105,39.86513,-82.61826
43106,39.6448,-83.41853
43107,39.69254,-82.40993
43109,39.9127,-82.83385
43110,39.82825,-82.80143
43111,39.50212,-82.24257
43112,39.79719,-82.70472
43113,39.59114,-82.96192
43115,39.48989,-83.16579
43116,39.77284,-83.06275
43117,39.76874,-83.20622
43119,39.93487,-83.20059
43123,39.86801,-83.12088
43125,39.83747,-82.88588
43126,39.81077,-83.16857
43127,39.47559,-82.32183
43128,39.66359,-83.57893
43130,39.70013,-82.60992
